,recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
0,117300167,"{'steamid': '76561198976283119', 'num_games_owned': 17, 'num_reviews': 1, 'playtime_forever': 83476, 'playtime_last_two_weeks': 725, 'playtime_at_review': 60371, 'last_played': 1680292907}",schinese,"外挂没有母亲，这是很难过的一件事情，但是他的父亲是谁，我们一无所知，毕竟每个人都有可能是他的父亲。
外掛沒有母親，這是很難過的一件事情，但是他的父親是誰，我們一無所知，畢竟每個人都有可能是他的父親。
プラグインのない母親がいるのは悲しいことですが、父親が誰なのかわかりません。
It is a sad thing to have a mother without a plug-in, but we do n’t know who his father is. After all, everyone can be his father.
C'est triste d'avoir une mère sans plug-in, mais on ne sait pas qui est son père, après tout, tout le monde peut être son père.
Грустно иметь мать без плагина, но мы не знаем, кто его отец. Ведь каждый может быть его отцом.
Es ist traurig, eine Mutter ohne Plug-In zu haben, aber wir wissen nicht, wer sein Vater ist. Schließlich kann jeder sein Vater sein.
plug-in မပါသောမိခင်တစ် ဦး ရှိခြင်းသည်ဝမ်းနည်းဖွယ်ကောင်းသော်လည်းသူ၏ဖခင်သည်မည်သူမည်ဝါဖြစ်ကြောင်းကျွန်ုပ်တို့မသိပါ။
Είναι λυπηρό να έχουμε μια μητέρα χωρίς προσθήκη, αλλά δεν ξέρουμε ποιος είναι ο πατέρας του. Εξάλλου, όλοι μπορούν να είναι ο πατέρας του.",1655745020,1655745020,True,1297,414,0.985363245010375977,0,False,False,False,False,
1,130090295,"{'steamid': '76561199069425571', 'num_games_owned': 15, 'num_reviews': 2, 'playtime_forever': 40599, 'playtime_last_two_weeks': 238, 'playtime_at_review': 33524, 'last_played': 1679152786}",schinese,"外挂没有母亲，这是很难过的一件事情，但是他的父亲是谁，我们一无所知，毕竟每个人都有可能是他的父亲。
外掛沒有母親，這是很難過的一件事情，但是他的父親是誰，我們一無所知，畢竟每個人都有可能是他的父親。
プラグインのない母親がいるのは悲しいことですが、父親が誰なのかわかりません。
It is a sad thing to have a mother without a plug-in, but we do n’t know who his father is. After all, everyone can be his father.
C'est triste d'avoir une mère sans plug-in, mais on ne sait pas qui est son père, après tout, tout le monde peut être son père.
Грустно иметь мать без плагина, но мы не знаем, кто его отец. Ведь каждый может быть его отцом.
Es ist traurig, eine Mutter ohne Plug-In zu haben, aber wir wissen nicht, wer sein Vater ist. Schließlich kann jeder sein Vater sein.
plug-in မပါသောမိခင်တစ် ဦး ရှိခြင်းသည်ဝမ်းနည်းဖွယ်ကောင်းသော်လည်းသူ၏ဖခင်သည်မည်သူမည်ဝါဖြစ်ကြောင်းကျွန်ုပ်တို့မသိပါ။
Είναι λυπηρό να έχουμε μια μητέρα χωρίς προσθήκη, αλλά δεν ξέρουμε ποιος είναι ο πατέρας του. Εξάλλου, όλοι μπορούν να είναι ο πατέρας του.",1672818200,1672818200,True,1842,360,0.985148370265960693,0,True,False,False,True,
2,120490029,"{'steamid': '76561198811415158', 'num_games_owned': 64, 'num_reviews': 4, 'playtime_forever': 31067, 'playtime_last_two_weeks': 151, 'playtime_at_review': 20961, 'last_played': 1679804765}",schinese,太好玩了！！进去不仅刀会转，人也会转！,1660301062,1660301062,True,1204,509,0.984513044357299805,13,True,False,False,False,
3,125510746,"{'steamid': '76561199036468530', 'num_games_owned': 36, 'num_reviews': 2, 'playtime_forever': 42925, 'playtime_last_two_weeks': 1546, 'playtime_at_review': 4401, 'last_played': 1680263738}",schinese,"外挂没有母亲，这是很难过的一件事情，但是他的父亲是谁，我们一无所知，毕竟每个人都有可能是他的父亲。
外掛沒有母親，這是很難過的一件事情，但是他的父親是誰，我們一無所知，畢竟每個人都有可能是他的父親。
プラグインのない母親がいるのは悲しいことですが、父親が誰なのかわかりません。
It is a sad thing to have a mother without a plug-in, but we do n’t know who his father is. After all, everyone can be his father.
C'est triste d'avoir une mère sans plug-in, mais on ne sait pas qui est son père, après tout, tout le monde peut être son père.
Грустно иметь мать без плагина, но мы не знаем, кто его отец. Ведь каждый может быть его отцом.
Es ist traurig, eine Mutter ohne Plug-In zu haben, aber wir wissen nicht, wer sein Vater ist. Schließlich kann jeder sein Vater sein.
plug-in မပါသောမိခင်တစ် ဦး ရှိခြင်းသည်ဝမ်းနည်းဖွယ်ကောင်းသော်လည်းသူ၏ဖခင်သည်မည်သူမည်ဝါဖြစ်ကြောင်းကျွန်ုပ်တို့မသိပါ။
Είναι λυπηρό να έχουμε μια μητέρα χωρίς προσθήκη, αλλά δεν ξέρουμε ποιος είναι ο πατέρας του. Εξάλλου, όλοι μπορούν να είναι ο πατέρας του.",1668496888,1668496888,True,1875,429,0.983934283256530762,33,True,False,False,True,
4,118315694,"{'steamid': '76561199246810186', 'num_games_owned': 77, 'num_reviews': 4, 'playtime_forever': 57924, 'playtime_last_two_weeks': 482, 'playtime_at_review': 20898, 'last_played': 1679766812}",schinese,"“妈妈从小告诉我不能作弊”

“但是直到长大后我才明白”

“很多孩子从小就没有妈妈”

“不知为何他们如此的可怜”

“因为他们也同样没有父亲”",1657104133,1657104133,True,1651,370,0.983814716339111328,16,True,False,False,False,
5,119121311,"{'steamid': '76561199184699897', 'num_games_owned': 11, 'num_reviews': 4, 'playtime_forever': 23266, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7796, 'last_played': 1678628751}",schinese,"外挂没有母亲，这是很难过的一件事情，但是他的父亲是谁，我们一无所知，毕竟每个人都有可能是他的父亲。
外掛沒有母親，這是很難過的一件事情，但是他的父親是誰，我們一無所知，畢竟每個人都有可能是他的父親。
プラグインのない母親がいるのは悲しいことですが、父親が誰なのかわかりません。
It is a sad thing to have a mother without a plug-in, but we do n’t know who his father is. After all, everyone can be his father.
C'est triste d'avoir une mère sans plug-in, mais on ne sait pas qui est son père, après tout, tout le monde peut être son père.
Грустно иметь мать без плагина, но мы не знаем, кто его отец. Ведь каждый может быть его отцом.
Es ist traurig, eine Mutter ohne Plug-In zu haben, aber wir wissen nicht, wer sein Vater ist. Schließlich kann jeder sein Vater sein.
plug-in မပါသောမိခင်တစ် ဦး ရှိခြင်းသည်ဝမ်းနည်းဖွယ်ကောင်းသော်လည်းသူ၏ဖခင်သည်မည်သူမည်ဝါဖြစ်ကြောင်းကျွန်ုပ်တို့မသိပါ။
Είναι λυπηρό να έχουμε μια μητέρα χωρίς προσθήκη, αλλά δεν ξέρουμε ποιος είναι ο πατέρας του. Εξάλλου, όλοι μπορούν να είναι ο πατέρας του.",1658301215,1658301215,True,1107,359,0.983336269855499268,15,True,False,False,False,
6,120813092,"{'steamid': '76561199265886791', 'num_games_owned': 7, 'num_reviews': 2, 'playtime_forever': 22985, 'playtime_last_two_weeks': 0, 'playtime_at_review': 19183, 'last_played': 1666364508}",schinese,"外挂没有母亲，这是很难过的一件事情，但是他的父亲是谁，我们一无所知，毕竟每个人都有可能是他的父亲。
外掛沒有母親，這是很難過的一件事情，但是他的父親是誰，我們一無所知，畢竟每個人都有可能是他的父親。
プラグインのない母親がいるのは悲しいことですが、父親が誰なのかわかりません。
It is a sad thing to have a mother without a plug-in, but we do n’t know who his father is. After all, everyone can be his father.
C'est triste d'avoir une mère sans plug-in, mais on ne sait pas qui est son père, après tout, tout le monde peut être son père.
Грустно иметь мать без плагина, но мы не знаем, кто его отец. Ведь каждый может быть его отцом.
Es ist traurig, eine Mutter ohne Plug-In zu haben, aber wir wissen nicht, wer sein Vater ist. Schließlich kann jeder sein Vater sein.
plug-in မပါသောမိခင်တစ် ဦး ရှိခြင်းသည်ဝမ်းနည်းဖွယ်ကောင်းသော်လည်းသူ၏ဖခင်သည်မည်သူမည်ဝါဖြစ်ကြောင်းကျွန်ုပ်တို့မသိပါ။
Είναι λυπηρό να έχουμε μια μητέρα χωρίς προσθήκη, αλλά δεν ξέρουμε ποιος είναι ο πατέρας του. Εξάλλου, όλοι μπορούν να είναι ο πατέρας του.",1660788593,1660788593,True,1140,309,0.982941269874572754,0,False,False,False,False,
7,114007769,"{'steamid': '76561199245514199', 'num_games_owned': 18, 'num_reviews': 3, 'playtime_forever': 43275, 'playtime_last_two_weeks': 1389, 'playtime_at_review': 4555, 'last_played': 1680269277}",schinese,"外挂没有母亲，这是很难过的一件事情，但是他的父亲是谁，我们一无所知，毕竟每个人都有可能是他的父亲。
外掛沒有母親，這是很難過的一件事情，但是他的父親是誰，我們一無所知，畢竟每個人都有可能是他的父親。
プラグインの母親がないのは悲しいことですが,父親が誰なのかわかりません,誰もが父親であるかも知れない。
It is a sad thing to have a mother without a plug-in, but we do n’t know who his father is. After all, everyone can be his father.
C'est triste d'avoir une mère sans plug-in, mais on ne sait pas qui est son père, après tout, tout le monde peut être son père.
Грустно иметь мать без плагина, но мы не знаем, кто его отец. Ведь каждый может быть его отцом.
Es ist traurig, eine Mutter ohne Plug-In zu haben, aber wir wissen nicht, wer sein Vater ist. Schließlich kann jeder sein Vater sein.
plug-in မပါသောမိခင်တစ် ဦး ရှိခြင်းသည်ဝမ်းနည်းဖွယ်ကောင်းသော်လည်းသူ၏ဖခင်သည်မည်သူမည်ဝါဖြစ်ကြောင်းကျွန်ုပ်တို့မသိပါ။
Είναι λυπηρό να έχουμε μια μητέρα χωρίς προσθήκη, αλλά δεν ξέρουμε ποιος είναι ο πατέρας του. Εξάλλου, όλοι μπορούν να είναι ο πατέρας του.",1650202639,1651633447,True,1095,306,0.981153368949890137,17,True,False,False,False,
8,123234294,"{'steamid': '76561198854364056', 'num_games_owned': 35, 'num_reviews': 1, 'playtime_forever': 60692, 'playtime_last_two_weeks': 297, 'playtime_at_review': 54442, 'last_played': 1680275508}",schinese,"在这里我想说一些东西，如果你玩的久了，你就会发现有人会主动加你，如果他的等级很高，且没和你打过游戏，他希望你可以帮助中国战队投票，那么恭喜你，你即将被骗。
这是发生在我们生活中的事实，一些繁体名字和他们死板的话语是拙劣的演技，如果他说会随机发一点小物品，请不要心动，请不要心动，请不要心动。
如果你注册了账户，投了票，马上就会显示，你的账户将在1小时后冻结，你慌忙的点开你的库存，发现你的库存跑到了别人的仓库，恭喜你，被骗了！
通常在你的留言板下回留下，加我哥们这些话。
如果你库存很多，且没有这种情况，最有效的方法是不要开着库存。
有兴趣的可以了解一下api劫持。
现在网络诈骗众多，希望各网友可以擦亮慧眼，看到转发，谢谢。(转发自别人）
",1664728245,1664728245,True,1009,28,0.980756044387817383,2,False,False,False,True,
9,116903251,"{'steamid': '76561199104598610', 'num_games_owned': 68, 'num_reviews': 2, 'playtime_forever': 36998, 'playtime_last_two_weeks': 1, 'playtime_at_review': 12076, 'last_played': 1679594619}",schinese,一开始我以为这是个免费游戏，直到我看见队友的刀会转……,1655091039,1655091039,True,891,289,0.979406893253326416,7,True,False,False,False,
